Geography,Sex,Year,Age_group,Rate
New Brunswick,Female,2019,15 to 19,0.3
New Brunswick,Female,2020,15 to 19,0.2
Quebec,Male,2016,15 to 19,0.3
Quebec,Male,2017,15 to 19,0.4
Quebec,Male,2018,15 to 19,0.3
Quebec,Male,2019,15 to 19,0.3
Quebec,Male,2020,15 to 19,0.3
Quebec,Female,2016,15 to 19,0.1
Quebec,Female,2017,15 to 19,0.1
Quebec,Female,2018,15 to 19,0.2
Quebec,Female,2019,15 to 19,0.2
Quebec,Female,2020,15 to 19,0.1
Ontario,Male,2016,15 to 19,0.3
Ontario,Male,2017,15 to 19,0.4
Ontario,Male,2018,15 to 19,0.4
Ontario,Male,2019,15 to 19,0.4
Ontario,Male,2020,15 to 19,0.4
Ontario,Female,2016,15 to 19,0.2
Ontario,Female,2017,15 to 19,0.2
Ontario,Female,2018,15 to 19,0.2
Ontario,Female,2019,15 to 19,0.2
Ontario,Female,2020,15 to 19,0.2
Manitoba,Male,2016,15 to 19,0.7
Manitoba,Male,2017,15 to 19,0.7
Manitoba,Male,2018,15 to 19,0.6
Manitoba,Male,2019,15 to 19,0.8
Manitoba,Male,2020,15 to 19,0.7
Manitoba,Female,2016,15 to 19,0.5
Manitoba,Female,2017,15 to 19,0.5
Manitoba,Female,2018,15 to 19,0.4
Manitoba,Female,2019,15 to 19,0.5
Manitoba,Female,2020,15 to 19,0.5
Saskatchewan,Male,2016,15 to 19,0.6
Saskatchewan,Male,2017,15 to 19,1
Saskatchewan,Male,2018,15 to 19,1.1
Saskatchewan,Male,2019,15 to 19,0.9
Saskatchewan,Male,2020,15 to 19,1.2
Saskatchewan,Female,2016,15 to 19,0.3
Saskatchewan,Female,2017,15 to 19,0.6
Saskatchewan,Female,2018,15 to 19,0.5
Saskatchewan,Female,2019,15 to 19,0.7
Saskatchewan,Female,2020,15 to 19,0.6
Alberta,Male,2016,15 to 19,0.6
Alberta,Male,2017,15 to 19,0.7
Alberta,Male,2018,15 to 19,0.6
Alberta,Male,2019,15 to 19,0.5
Alberta,Male,2020,15 to 19,0.6
Alberta,Female,2016,15 to 19,0.3
Alberta,Female,2017,15 to 19,0.3
Alberta,Female,2018,15 to 19,0.3
Alberta,Female,2019,15 to 19,0.2
Alberta,Female,2020,15 to 19,0.4
British Columbia,Male,2016,15 to 19,0.5
British Columbia,Male,2017,15 to 19,0.5
British Columbia,Male,2018,15 to 19,0.6
British Columbia,Male,2019,15 to 19,0.4
British Columbia,Male,2020,15 to 19,0.4
British Columbia,Female,2016,15 to 19,0.3
British Columbia,Female,2017,15 to 19,0.4
British Columbia,Female,2018,15 to 19,0.2
British Columbia,Female,2019,15 to 19,0.3
British Columbia,Female,2020,15 to 19,0.3
Northwest Territories,Male,2016,15 to 19,2
Northwest Territories,Male,2017,15 to 19,0
Northwest Territories,Male,2018,15 to 19,1.5
Northwest Territories,Male,2019,15 to 19,0.7
Northwest Territories,Male,2020,15 to 19,0
Northwest Territories,Female,2016,15 to 19,0
Northwest Territories,Female,2017,15 to 19,0.7
Northwest Territories,Female,2018,15 to 19,0
Northwest Territories,Female,2019,15 to 19,0.7
Northwest Territories,Female,2020,15 to 19,0.7
Nunavut,Male,2016,15 to 19,3.7
Nunavut,Male,2017,15 to 19,3.1
Nunavut,Male,2018,15 to 19,3.7
Nunavut,Male,2019,15 to 19,7.4
Nunavut,Male,2020,15 to 19,4.9
Nunavut,Female,2016,15 to 19,1.9
