,province,age_group,sex,population,gamma_adj,rho_adj,province_cat,age_group_cat,sex_cat,logit_rho_adj,log_population,Estimated Prevalence,Lower HPDI Prevalence,Upper HPDI Prevalence,Estimated Cases,Lower HPDI Cases,Upper HPDI Cases
227,Nunavut,55-59,Male,850.0,10.138360125053985,0.011927482500063513,7,8,1,-4.416910902118913,6.745236349484363,0.01455913052773098,0.012822660679696228,0.016376239651217192,12.3727125,6.0,19.0
228,Nunavut,60-64,Female,490.0,1.596090335186215,0.0032573272146657448,7,9,0,-5.72358564883151,6.194405391104672,0.003677464327926433,0.0032261932502010717,0.004136544313527406,1.7995375,0.0,4.0
229,Nunavut,60-64,Male,555.0,4.953030735892473,0.008924379704310762,7,9,1,-4.7100040141451345,6.318968113746434,0.013077377596875769,0.011520362862402043,0.0147269746581789,7.26035,2.0,12.0
230,Nunavut,65-69,Female,300.0,0.6323068269438215,0.0021076894231460714,7,10,0,-6.160053077904442,5.703782474656201,0.00310753767112573,0.0027283601730024973,0.0034987729244755563,0.9292375,0.0,3.0
231,Nunavut,65-69,Male,390.0,2.510196305629217,0.006436400783664659,7,10,1,-5.039328575900896,5.966146739123692,0.011066915037242057,0.009709570893353267,0.012427413964020481,4.306675,1.0,8.0
232,Nunavut,70-74,Female,205.0,0.2540646022636309,0.001239339523237224,7,11,0,-6.691936575680671,5.3230099791384085,0.0023963832178148787,0.002095037192963685,0.002690398361554346,0.48995,0.0,2.0
233,Nunavut,70-74,Male,240.0,0.9981047364081002,0.0041587697350337505,7,11,1,-5.478368543749706,5.480638923341991,0.008549952972724834,0.007469347098889307,0.009579766375137464,2.0607125,0.0,5.0
234,Nunavut,75-79,Female,110.0,0.0372354873487553,0.00033850443044323,7,12,0,-7.990634815503015,4.700480365792417,0.00158742875448764,0.001391987023552894,0.0017899889797582155,0.1748625,0.0,1.0
235,Nunavut,75-79,Male,115.0,0.22824472801100198,0.0019847367653130607,7,12,1,-6.220282276604399,4.74493212836325,0.005675582161128453,0.005003873900270827,0.006421169042637665,0.6512625,0.0,2.0
236,Nunavut,80-84,Female,50.0,0.0008963252892018892,1.7926505784037784e-05,7,13,0,-10.929212243652021,3.912023005428146,0.0007912665849906438,0.0006878416332344051,0.0008925688126370863,0.039375,0.0,0.0
237,Nunavut,80-84,Male,70.0,0.0262584691347038,0.0003751209876386257,7,13,1,-7.887886758962806,4.248495242049359,0.002834883929039966,0.002471980833831316,0.003204437804962316,0.197975,0.0,1.0
238,Nunavut,85+,Female,20.0,3.767776236027957e-06,1.8838881180139787e-07,7,14,0,-15.484757673521598,2.995732273553991,0.00023089158673918805,0.00019741640364772075,0.0002676620393962552,0.0042125,0.0,0.0
239,Nunavut,85+,Male,25.0,0.0011384300019387,4.5537200077548e-05,7,14,1,-9.996935443688349,3.2188758248682006,0.0008284228689036842,0.0007049508644248598,0.0009568533338599457,0.0204625,0.0,0.0
240,Ontario,18-19,Female,167412.0,1545.6054273555956,0.009232345514990536,8,0,0,-4.675766916359493,12.028213119056108,0.010533393690590632,0.010372139793838886,0.010691954690421003,1763.1548625,1673.0,1845.0
241,Ontario,18-19,Male,176586.0,6692.0272404179705,0.037896703251775174,8,0,1,-3.234257699114718,12.081563288811363,0.03681146593505519,0.03629212234013692,0.037328071285977746,6500.47735,6322.0,6683.0
242,Ontario,20-24,Female,491135.0,4520.200782830988,0.009203581057817073,8,1,0,-4.678916429565659,13.104474318068588,0.010471148533097416,0.01036097452308659,0.010573270839093879,5142.496175,4991.0,5288.0
243,Ontario,20-24,Male,540010.0,20336.84685484558,0.03766013009915664,8,1,1,-3.2407657055925254,13.19934293688751,0.036599705237930144,0.03627747346025113,0.036909987428139786,19764.507675,19441.0,20082.0
244,Ontario,25-29,Female,507400.0,4643.733494392352,0.009152017135183982,8,2,0,-4.684586817924591,13.137054926147318,0.010329379081579812,0.010226764261830786,0.01043449872831797,5240.895375,5094.0,5395.0
245,Ontario,25-29,Male,538840.0,20046.363198295203,0.037202811963282616,8,2,1,-3.2534584364615653,13.197173959812504,0.036117092517002895,0.03581502613207815,0.036430238839016436,19461.2506875,19148.0,19774.0
246,Ontario,30-34,Female,499145.0,4535.501059606465,0.009086540102788698,8,3,0,-4.691832995503006,13.120651913685451,0.010179045985871755,0.010078115469726298,0.010283928365167727,5081.08365,4936.0,5234.0
247,Ontario,30-34,Male,508060.0,18619.032516965748,0.03664731039043764,8,3,1,-3.269079545962556,13.138354829822374,0.03560495507478483,0.03529217210116053,0.03591530471792661,18089.4964375,17792.0,18398.0
248,Ontario,35-39,Female,487885.0,4390.485062336762,0.008999016289364834,8,4,0,-4.701600256793205,13.097835001326404,0.009997951107558582,0.009896751390679812,0.010102291253755303,4877.9913625,4730.0,5020.0
249,Ontario,35-39,Male,475890.0,17136.61456200576,0.03600961264579159,8,4,1,-3.287295402184743,13.07294201407061,0.03498749710797954,0.03467851610110324,0.03530299836284569,16651.0353375,16361.0,16937.0
250,Ontario,40-44,Female,471155.0,4185.985004141903,0.008884517842624833,8,5,0,-4.714520864788722,13.062942405910121,0.009786314871549528,0.009683452725745672,0.009891774288238222,4611.0281375,4467.0,4750.0
251,Ontario,40-44,Male,442270.0,15570.453311884725,0.03520576415285849,8,5,1,-3.3107050279611046,12.999675834289484,0.0342651899132826,0.03395367519504168,0.034587052378448696,15154.6313375,14878.0,15428.0
252,Ontario,45-49,Female,479390.0,4183.975760127589,0.00872770762871063,8,6,0,-4.7324865119632475,13.080269741357268,0.009510769822194471,0.009406369664737882,0.009609339923213512,4559.0220625,4416.0,4696.0
253,Ontario,45-49,Male,460980.0,15737.747737317612,0.0341397625435325,8,6,1,-3.3425563800548934,13.041109937089736,0.03332361210732473,0.03301554476663671,0.03363946664739213,15360.855975,15082.0,15639.0
254,Ontario,50-54,Female,500395.0,4243.488274579595,0.00848027713022631,8,7,0,-4.761495709992335,13.123153065518578,0.00910666396179887,0.009009776414704187,0.009202927828270046,4556.7289375,4412.0,4693.0
255,Ontario,50-54,Male,491315.0,16021.706572119076,0.032609846172250136,8,7,1,-3.389987609768417,13.10484074893431,0.03194034162002625,0.03163830868783363,0.03223219743080108,15693.068675,15409.0,15973.0
256,Ontario,55-59,Female,538290.0,4365.021026016439,0.00810905093168448,8,8,0,-4.806632334041187,13.196152727374821,0.00850077076597297,0.008411614171893301,0.008590386989298721,4575.7897125,4434.0,4716.0
257,Ontario,55-59,Male,530530.0,16062.507261421673,0.03027634113324727,8,8,1,-3.4666445563117985,13.181631785861388,0.029861038838015396,0.029585214708896867,0.030133721063140634,15841.4505125,15556.0,16118.0
258,Ontario,60-64,Female,480895.0,3637.393511504075,0.00756379981389716,8,9,0,-4.876789043761073,13.083404230039735,0.0076307654534505335,0.00754568606458275,0.007719131392168205,3668.9119125,3540.0,3790.0
259,Ontario,60-64,Male,457695.0,12318.163798836233,0.026913476876164768,8,9,1,-3.587845842042752,13.033958302395916,0.02686416276110482,0.026585123932189664,0.027129207280995785,12296.0039625,12046.0,12539.0
260,Ontario,65-69,Female,407625.0,2761.872160227582,0.006775522012211179,8,10,0,-4.98764028533758,12.91810291309162,0.006452117006479054,0.006369098392554855,0.006536866473915722,2630.29615,2521.0,2732.0
261,Ontario,65-69,Male,371540.0,8321.955317214917,0.022398544752152978,8,10,1,-3.776106086679695,12.825411808945395,0.022782928490265444,0.022508410755986513,0.023054674605442846,8464.55905,8255.0,8665.0
262,Ontario,70-74,Female,340965.0,1941.162779306862,0.005693143810381892,8,11,0,-5.16278325689256,12.739535111701693,0.004979375419946699,0.00490101693988682,0.005057358278761707,1697.82345,1612.0,1781.0
263,Ontario,70-74,Male,304340.0,5152.629705527975,0.016930504388276188,8,11,1,-4.061562826841752,12.625900776474106,0.01764877481349622,0.017390154286551034,0.017912446178916804,5371.5177875,5204.0,5529.0
264,Ontario,75-79,Female,240550.0,1024.5309403673382,0.004259118438442479,8,12,0,-5.454424865128985,12.3906832471276,0.0033013546003148294,0.0032280386097022044,0.003376574864233613,794.2113375,734.0,849.0
265,Ontario,75-79,Male,204120.0,2224.857975385921,0.010899754925465025,8,12,1,-4.50805538144101,12.226463335177908,0.011751660332568721,0.011495865960049043,0.012011400325831856,2398.575775,2286.0,2504.0
266,Ontario,80-84,Female,175285.0,441.58734890943265,0.0025192534952188303,8,13,0,-5.9812702212462145,12.074168499649808,0.001646998473043429,0.001583757930630499,0.00171132952929921,288.6902625,252.0,322.0
267,Ontario,80-84,Male,136775.0,689.9785790866792,0.005044624961335619,8,13,1,-5.284374574587863,11.826092518932027,0.005887747540188894,0.005668012337336671,0.00611866432196105,805.3191875,740.0,866.0
268,Ontario,85+,Female,121420.0,112.59188565826729,0.0009272927496151152,8,14,0,-6.982313516049713,11.707010888684424,0.00048088219913490564,0.0004371389137462609,0.0005230904294610528,58.379525,42.0,73.0
269,Ontario,85+,Male,80880.0,94.47450690955978,0.0011680824296434196,8,14,1,-6.751223058571795,11.300721853694354,0.0017242575981109161,0.0015689937936592408,0.0018763601944972357,139.42175,112.0,164.0
270,Prince Edward Island,18-19,Female,1804.0,26.753131598417298,0.01482989556453287,9,0,0,-4.196169207171147,7.4977617006225685,0.01978482469554397,0.019116777945822394,0.02044312382907046,35.6938625,23.0,46.0
271,Prince Edward Island,18-19,Male,1886.0,139.97690198,0.07421893,9,0,1,-2.523618542278075,7.542213463193403,0.06756598922199461,0.06543639217979154,0.06970131785429859,127.4402875,105.0,148.0
272,Prince Edward Island,20-24,Female,5160.0,76.3552983470513,0.014797538439351028,9,1,0,-4.198386319510671,8.548691858475609,0.01966900604502476,0.019053199279140374,0.020292579727516358,101.4714625,81.0,120.0
273,Prince Edward Island,20-24,Male,6030.0,444.18953980441466,0.07366327359940542,9,1,1,-2.5317334519163683,8.704502289721232,0.06718973313637018,0.06517390838359377,0.06916523482408653,404.9980125,364.0,443.0
